order_id,order_date,ship_date,ship_mode,customer_id,product_id,quantity,discount
10133,05/17/2024,05/24/2024,Standard Class,CUST-875,PD-129,6,0.0
10134,10/22/2021,10/26/2021,Standard Class,CUST-945,PD-800,13,0.0
10135,03/26/2022,03/31/2022,Standard Class,CUST-114,PD-259,11,0.0
10136,03/15/2021,03/21/2021,Standard Class,CUST-122,PD-243,12,0.1
10137,04/11/2022,04/14/2022,Second Class,CUST-360,PD-1292,12,0.0
10138,05/19/2024,05/22/2024,Second Class,CUST-139,PD-17,13,0.2
10139,05/04/2022,05/07/2022,Second Class,CUST-516,PD-441,7,0.0
10140,02/04/2022,02/10/2022,Standard Class,CUST-891,PD-576,5,0.0
10141,07/23/2024,07/26/2024,Second Class,CUST-836,PD-386,4,0.0
10142,05/02/2020,05/07/2020,Standard Class,CUST-779,PD-427,2,0.0
10143,02/14/2020,02/20/2020,Standard Class,CUST-946,PD-468,8,0.0
10144,10/03/2024,10/08/2024,Standard Class,CUST-674,PD-845,2,0.0
10145,07/23/2021,07/26/2021,Second Class,CUST-356,PD-1505,7,0.0
10146,09/24/2022,09/30/2022,Standard Class,CUST-274,PD-896,9,0.2
10147,11/07/2021,11/10/2021,Second Class,CUST-459,PD-1211,7,0.3
10148,04/22/2024,04/26/2024,Standard Class,CUST-119,PD-1364,10,0.3
10149,11/02/2024,11/05/2024,Second Class,CUST-967,PD-157,1,0.0
10150,05/05/2022,05/11/2022,Standard Class,CUST-966,PD-610,14,0.0
10151,04/01/2023,04/07/2023,Standard Class,CUST-774,PD-1179,4,0.0
10152,12/26/2024,12/27/2024,First Class,CUST-407,PD-1544,4,0.0
10153,02/16/2022,02/22/2022,Standard Class,CUST-458,PD-1177,3,0.1
10154,06/23/2022,06/27/2022,Standard Class,CUST-505,PD-1401,2,0.1
10155,07/20/2022,07/25/2022,Standard Class,CUST-718,PD-1269,7,0.0
10156,05/09/2021,05/14/2021,Standard Class,CUST-400,PD-29,1,0.2
10157,02/20/2022,02/24/2022,Standard Class,CUST-419,PD-992,9,0.0
10158,07/26/2024,07/29/2024,Second Class,CUST-879,PD-786,11,0.0
10159,08/14/2021,08/14/2021,Same Day,CUST-621,PD-375,4,0.0
10160,12/26/2022,12/29/2022,Second Class,CUST-184,PD-802,3,0.4
10161,04/13/2021,04/19/2021,Standard Class,CUST-362,PD-1071,14,0.0
10162,01/12/2022,01/15/2022,Second Class,CUST-450,PD-789,14,0.0
10163,09/10/2022,09/14/2022,Standard Class,CUST-215,PD-1170,14,0.0
10164,03/15/2023,03/21/2023,Standard Class,CUST-230,PD-1060,7,0.2
10165,06/24/2023,06/24/2023,Same Day,CUST-832,PD-1333,2,0.3
10166,09/21/2020,09/25/2020,Standard Class,CUST-719,PD-1524,1,0.3
10167,02/08/2023,02/13/2023,Standard Class,CUST-785,PD-491,6,0.0
10168,07/06/2021,07/11/2021,Standard Class,CUST-854,PD-168,9,0.0
10169,12/28/2024,01/01/2025,Standard Class,CUST-603,PD-1175,14,0.0
10170,07/26/2024,07/31/2024,Standard Class,CUST-158,PD-430,3,0.0
10171,03/23/2024,03/29/2024,Standard Class,CUST-201,PD-625,1,0.0
10172,12/21/2023,12/26/2023,Standard Class,CUST-865,PD-183,9,0.0
10173,10/13/2024,10/20/2024,Standard Class,CUST-270,PD-819,9,0.0
10174,03/20/2024,03/24/2024,Standard Class,CUST-57,PD-1448,3,0.0
10175,03/17/2021,03/21/2021,Standard Class,CUST-419,PD-1368,10,0.0
10176,07/13/2024,07/19/2024,Standard Class,CUST-652,PD-982,1,0.0
10177,01/04/2021,01/10/2021,Standard Class,CUST-646,PD-322,12,0.0
10178,12/22/2020,12/23/2020,First Class,CUST-603,PD-1221,11,0.0
10179,02/20/2021,02/27/2021,Standard Class,CUST-144,PD-185,2,0.0
10180,12/06/2021,12/12/2021,Standard Class,CUST-456,PD-1051,13,0.0
10181,12/27/2020,01/03/2021,Standard Class,CUST-244,PD-1215,3,0.4
10182,04/26/2020,05/03/2020,Standard Class,CUST-713,PD-272,2,0.4
10183,11/12/2023,11/15/2023,Second Class,CUST-992,PD-1195,5,0.0
10184,08/16/2021,08/21/2021,Standard Class,CUST-651,PD-558,3,0.0
10185,12/19/2020,12/24/2020,Standard Class,CUST-897,PD-167,2,0.0
10186,10/20/2021,10/27/2021,Standard Class,CUST-696,PD-804,5,0.2
10187,08/15/2022,08/18/2022,Second Class,CUST-169,PD-1064,10,0.0
10188,05/15/2020,05/18/2020,Second Class,CUST-170,PD-866,6,0.0
10189,11/14/2021,11/21/2021,Standard Class,CUST-984,PD-441,3,0.0
10190,02/26/2021,03/01/2021,Second Class,CUST-126,PD-201,7,0.0
10191,07/20/2020,07/27/2020,Standard Class,CUST-644,PD-987,10,0.0
10192,12/19/2020,12/23/2020,Standard Class,CUST-416,PD-896,6,0.0
10193,02/02/2022,02/09/2022,Standard Class,CUST-95,PD-646,13,0.2
10194,05/07/2021,05/07/2021,Same Day,CUST-543,PD-908,7,0.0
10195,09/08/2023,09/14/2023,Standard Class,CUST-102,PD-610,11,0.0
10196,08/18/2023,08/25/2023,Standard Class,CUST-399,PD-672,10,0.0
10197,01/29/2020,02/01/2020,Second Class,CUST-925,PD-35,11,0.1
10198,03/09/2023,03/14/2023,Standard Class,CUST-334,PD-180,5,0.1
10199,10/03/2022,10/10/2022,Standard Class,CUST-441,PD-284,2,0.0
10200,06/27/2023,07/04/2023,Standard Class,CUST-11,PD-548,1,0.3
10201,08/05/2020,08/08/2020,Second Class,CUST-233,PD-1134,6,0.0
10202,03/25/2024,03/31/2024,Standard Class,CUST-763,PD-474,8,0.0
10203,03/16/2023,03/22/2023,Standard Class,CUST-726,PD-699,9,0.0
10204,08/23/2023,08/30/2023,Standard Class,CUST-634,PD-565,13,0.0
10205,11/15/2022,11/18/2022,Second Class,CUST-648,PD-954,4,0.0
10206,01/01/2024,01/04/2024,Second Class,CUST-682,PD-480,2,0.1
10207,01/31/2022,02/04/2022,Standard Class,CUST-44,PD-72,9,0.1
10208,11/14/2022,11/21/2022,Standard Class,CUST-768,PD-1513,5,0.0
10209,08/31/2020,09/07/2020,Standard Class,CUST-992,PD-1432,9,0.0
10210,11/08/2022,11/11/2022,Second Class,CUST-403,PD-1534,9,0.1
10211,05/09/2023,05/15/2023,Standard Class,CUST-794,PD-179,8,0.0
10212,04/04/2021,04/05/2021,First Class,CUST-143,PD-328,13,0.0
10213,05/23/2021,05/24/2021,First Class,CUST-118,PD-114,11,0.0
10214,01/15/2023,01/20/2023,Standard Class,CUST-762,PD-252,10,0.0
10215,08/09/2021,08/16/2021,Standard Class,CUST-413,PD-9,11,0.1
10216,11/08/2023,11/13/2023,Standard Class,CUST-438,PD-152,8,0.1
10217,05/18/2024,05/25/2024,Standard Class,CUST-924,PD-598,6,0.0
10218,12/03/2022,12/07/2022,Standard Class,CUST-739,PD-79,13,0.1
10219,10/29/2022,11/05/2022,Standard Class,CUST-635,PD-1445,8,0.0
10220,11/23/2020,11/29/2020,Standard Class,CUST-241,PD-900,1,0.7
10221,06/09/2021,06/16/2021,Standard Class,CUST-191,PD-666,11,0.1
10222,05/12/2024,05/18/2024,Standard Class,CUST-551,PD-1241,10,0.3
10223,12/30/2021,01/02/2022,Second Class,CUST-468,PD-734,4,0.0
10224,10/02/2023,10/06/2023,Standard Class,CUST-928,PD-280,1,0.0
10225,09/12/2022,09/15/2022,Second Class,CUST-319,PD-1278,10,0.3
10226,02/13/2023,02/20/2023,Standard Class,CUST-853,PD-632,5,0.0
10227,10/04/2023,10/11/2023,Standard Class,CUST-476,PD-469,7,0.1
10228,09/17/2023,09/22/2023,Standard Class,CUST-618,PD-1361,1,0.0
10229,06/13/2023,06/16/2023,Second Class,CUST-447,PD-461,11,0.0
10230,02/06/2021,02/10/2021,Standard Class,CUST-973,PD-1238,7,0.0
10231,10/09/2022,10/15/2022,Standard Class,CUST-653,PD-299,6,0.1
10232,12/16/2021,12/22/2021,Standard Class,CUST-497,PD-1495,2,0.0
10233,10/25/2021,11/01/2021,Standard Class,CUST-928,PD-282,1,0.0
10234,06/02/2024,06/03/2024,First Class,CUST-617,PD-202,5,0.1
10235,07/14/2020,07/15/2020,First Class,CUST-569,PD-1530,6,0.0
10236,07/08/2022,07/11/2022,Second Class,CUST-209,PD-159,2,0.1
10237,03/10/2022,03/17/2022,Standard Class,CUST-966,PD-1276,7,0.1
10238,08/05/2021,08/08/2021,Second Class,CUST-746,PD-311,3,0.0
10239,01/18/2024,01/21/2024,Second Class,CUST-52,PD-1051,10,0.0
10240,01/18/2022,01/21/2022,Second Class,CUST-877,PD-173,12,0.0
10241,10/19/2021,10/22/2021,Second Class,CUST-87,PD-1187,10,0.0
10242,02/28/2023,03/06/2023,Standard Class,CUST-430,PD-347,3,0.0
10243,08/02/2021,08/09/2021,Standard Class,CUST-354,PD-1133,4,0.0
10244,04/05/2020,04/06/2020,First Class,CUST-649,PD-546,3,0.0
10245,03/20/2020,03/21/2020,First Class,CUST-317,PD-1574,2,0.1
10246,04/16/2022,04/23/2022,Standard Class,CUST-999,PD-791,11,0.0
10247,03/27/2024,04/02/2024,Standard Class,CUST-750,PD-620,14,0.0
10248,07/16/2024,07/23/2024,Standard Class,CUST-620,PD-256,8,0.0
10249,12/18/2023,12/21/2023,Second Class,CUST-839,PD-944,13,0.1
10250,03/21/2024,03/22/2024,First Class,CUST-14,PD-1426,6,0.0
10251,07/05/2020,07/12/2020,Standard Class,CUST-885,PD-1609,12,0.0
10252,04/12/2022,04/16/2022,Standard Class,CUST-864,PD-1199,8,0.0
10253,09/21/2023,09/24/2023,Second Class,CUST-854,PD-1465,2,0.0
10254,12/28/2024,01/04/2025,Standard Class,CUST-301,PD-100,1,0.1
10255,12/01/2022,12/05/2022,Standard Class,CUST-135,PD-242,12,0.0
10256,03/31/2022,04/03/2022,Second Class,CUST-444,PD-181,9,0.0
10257,07/08/2023,07/12/2023,Standard Class,CUST-66,PD-268,5,0.1
10258,04/28/2022,05/04/2022,Standard Class,CUST-890,PD-447,7,0.0
10259,04/30/2024,05/06/2024,Standard Class,CUST-83,PD-1327,13,0.0
10260,01/04/2021,01/07/2021,Second Class,CUST-40,PD-438,12,0.0
10261,07/16/2021,07/20/2021,Standard Class,CUST-858,PD-750,9,0.0
10262,05/13/2020,05/16/2020,Second Class,CUST-164,PD-300,1,0.1
10263,09/16/2024,09/23/2024,Standard Class,CUST-857,PD-355,6,0.0
10264,11/20/2022,11/23/2022,Second Class,CUST-448,PD-218,5,0.7
10265,09/07/2022,09/10/2022,Second Class,CUST-378,PD-1447,10,0.1
10266,02/19/2023,02/24/2023,Standard Class,CUST-766,PD-190,11,0.1
10267,06/16/2021,06/21/2021,Standard Class,CUST-35,PD-394,11,0.0
10268,02/05/2023,02/10/2023,Standard Class,CUST-751,PD-837,1,0.0
10269,05/14/2023,05/20/2023,Standard Class,CUST-96,PD-1252,4,0.0
10270,02/06/2022,02/09/2022,Second Class,CUST-670,PD-1150,8,0.0
10271,03/19/2020,03/20/2020,First Class,CUST-812,PD-444,5,0.0
10272,09/12/2022,09/16/2022,Standard Class,CUST-332,PD-720,2,0.0
10273,07/05/2020,07/08/2020,Second Class,CUST-145,PD-230,13,0.0
10274,07/07/2023,07/13/2023,Standard Class,CUST-160,PD-351,11,0.0
10275,12/01/2020,12/01/2020,Same Day,CUST-845,PD-589,14,0.0
10276,02/04/2022,02/10/2022,Standard Class,CUST-60,PD-1523,4,0.0
10277,11/01/2020,11/05/2020,Standard Class,CUST-42,PD-588,2,0.0
10278,07/24/2021,07/29/2021,Standard Class,CUST-250,PD-802,14,0.0
10279,06/23/2022,06/24/2022,First Class,CUST-240,PD-1101,13,0.2
10280,08/18/2020,08/23/2020,Standard Class,CUST-628,PD-1312,10,0.0
10281,12/02/2021,12/06/2021,Standard Class,CUST-972,PD-931,8,0.1
10282,08/02/2023,08/05/2023,Second Class,CUST-889,PD-116,14,0.0
10283,05/17/2020,05/23/2020,Standard Class,CUST-876,PD-707,9,0.2
10284,04/14/2023,04/20/2023,Standard Class,CUST-357,PD-1064,3,0.0
10285,09/24/2021,09/29/2021,Standard Class,CUST-449,PD-714,1,0.0
10286,05/17/2020,05/24/2020,Standard Class,CUST-266,PD-252,2,0.0
10287,01/18/2022,01/25/2022,Standard Class,CUST-680,PD-1515,2,0.0
10288,09/21/2020,09/26/2020,Standard Class,CUST-580,PD-65,14,0.0
10289,11/09/2023,11/10/2023,First Class,CUST-362,PD-400,13,0.1
10290,03/21/2024,03/24/2024,Second Class,CUST-847,PD-232,12,0.2
10291,02/11/2022,02/15/2022,Standard Class,CUST-389,PD-1283,10,0.0
10292,06/11/2024,06/15/2024,Standard Class,CUST-11,PD-1545,5,0.0
10293,05/31/2022,06/05/2022,Standard Class,CUST-687,PD-1312,2,0.7
10294,02/06/2022,02/09/2022,Second Class,CUST-174,PD-1531,8,0.1
10295,08/23/2022,08/29/2022,Standard Class,CUST-841,PD-159,8,0.0
10296,07/02/2024,07/06/2024,Standard Class,CUST-474,PD-1036,7,0.1
10297,08/06/2024,08/11/2024,Standard Class,CUST-725,PD-913,6,0.0
10298,04/18/2021,04/21/2021,Second Class,CUST-10,PD-225,6,0.0
10299,03/01/2020,03/07/2020,Standard Class,CUST-873,PD-1459,12,0.0
10300,03/26/2023,04/01/2023,Standard Class,CUST-95,PD-946,14,0.0
10301,03/20/2022,03/21/2022,First Class,CUST-284,PD-223,13,0.0
10302,09/12/2024,09/13/2024,First Class,CUST-250,PD-1579,4,0.0
10303,05/06/2024,05/12/2024,Standard Class,CUST-788,PD-953,11,0.0
10304,01/10/2020,01/17/2020,Standard Class,CUST-627,PD-895,1,0.0
10305,01/22/2024,01/26/2024,Standard Class,CUST-652,PD-390,3,0.0
10306,09/26/2022,09/29/2022,Second Class,CUST-75,PD-1142,9,0.0
10307,12/18/2023,12/23/2023,Standard Class,CUST-404,PD-1616,7,0.0
10308,01/02/2021,01/07/2021,Standard Class,CUST-461,PD-1031,9,0.4
10309,11/11/2022,11/15/2022,Standard Class,CUST-135,PD-1498,11,0.2
10310,04/01/2021,04/07/2021,Standard Class,CUST-445,PD-767,2,0.0
10311,04/11/2023,04/18/2023,Standard Class,CUST-310,PD-118,5,0.0
10312,06/22/2024,06/25/2024,Second Class,CUST-59,PD-1152,2,0.0
10313,11/24/2024,11/30/2024,Standard Class,CUST-841,PD-1315,13,0.0
10314,08/07/2024,08/10/2024,Second Class,CUST-233,PD-1563,7,0.0
10315,11/17/2020,11/20/2020,Second Class,CUST-250,PD-63,2,0.0
10316,04/24/2023,04/28/2023,Standard Class,CUST-546,PD-1612,4,0.0
10317,10/25/2020,10/28/2020,Second Class,CUST-621,PD-620,12,0.2
10318,04/13/2020,04/19/2020,Standard Class,CUST-694,PD-220,9,0.0
10319,04/07/2022,04/11/2022,Standard Class,CUST-858,PD-590,4,0.0
10320,06/05/2023,06/09/2023,Standard Class,CUST-98,PD-215,13,0.0
10321,09/01/2020,09/04/2020,Second Class,CUST-322,PD-1409,1,0.2
10322,10/05/2021,10/08/2021,Second Class,CUST-320,PD-846,14,0.1
10323,04/26/2023,04/27/2023,First Class,CUST-652,PD-287,5,0.0
10324,08/31/2023,09/01/2023,First Class,CUST-825,PD-238,11,0.0
10325,03/31/2022,04/05/2022,Standard Class,CUST-941,PD-1570,11,0.0
10326,11/18/2023,11/23/2023,Standard Class,CUST-55,PD-669,2,0.0
10327,01/11/2021,01/18/2021,Standard Class,CUST-162,PD-1220,7,0.0
10328,06/02/2020,06/07/2020,Standard Class,CUST-838,PD-89,3,0.0
10329,03/11/2023,03/15/2023,Standard Class,CUST-574,PD-1319,7,0.0
10330,12/06/2023,12/13/2023,Standard Class,CUST-607,PD-376,10,0.0
10331,10/06/2022,10/13/2022,Standard Class,CUST-163,PD-187,13,0.0
10332,03/16/2021,03/21/2021,Standard Class,CUST-797,PD-1251,9,0.0
10333,12/01/2023,12/02/2023,First Class,CUST-131,PD-599,9,0.0
10334,11/09/2021,11/16/2021,Standard Class,CUST-949,PD-1139,3,0.0
10335,08/03/2021,08/06/2021,Second Class,CUST-378,PD-594,7,0.3
10336,10/26/2021,10/31/2021,Standard Class,CUST-19,PD-1311,10,0.1
10337,11/04/2023,11/07/2023,Second Class,CUST-875,PD-1403,10,0.1
10338,08/01/2024,08/04/2024,Second Class,CUST-324,PD-311,13,0.0
10339,10/20/2023,10/23/2023,Second Class,CUST-933,PD-202,9,0.3
10340,01/31/2022,02/05/2022,Standard Class,CUST-386,PD-1421,1,0.0
10341,03/19/2020,03/23/2020,Standard Class,CUST-709,PD-1144,13,0.0
10342,06/01/2024,06/04/2024,Second Class,CUST-316,PD-247,9,0.2
10343,03/27/2021,04/03/2021,Standard Class,CUST-735,PD-181,14,0.0
10344,04/09/2020,04/16/2020,Standard Class,CUST-562,PD-248,2,0.0
10345,05/21/2023,05/24/2023,Second Class,CUST-614,PD-123,7,0.0
10346,10/18/2020,10/21/2020,Second Class,CUST-242,PD-645,5,0.0
10347,10/15/2021,10/18/2021,Second Class,CUST-156,PD-1070,6,0.0
10348,12/11/2023,12/18/2023,Standard Class,CUST-504,PD-462,1,0.0
