product_id,product_name,category,sub_category,unit_price,cogs
PD-39,"Nichols, Miller and Small implement",Furniture,Bookcases,16.5,8.83
PD-40,Odom-Fuentes deliver,Furniture,Chairs,27.87,7.68
PD-41,"Ellis, Torres and Doyle matrix",Furniture,Furnishings,18.39,6.47
PD-42,Marsh Ltd orchestrate,Office Supplies,Fasteners,4.51,1.66
PD-43,"Barton, Harper and Jenkins maximize",Furniture,Bookcases,16.71,5.26
PD-44,Brewer-Miller scale,Furniture,Furnishings,17.9,4.55
PD-45,Eaton Group architect,Technology,Accessories,16.55,4.4
PD-46,Hughes LLC repurpose,Office Supplies,Envelopes,3.74,1.85
PD-47,"Mcfarland, Roth and Rodriguez innovate",Office Supplies,Storage,13.49,5.61
PD-48,"West, Ingram and Rhodes deliver",Technology,Accessories,24.13,10.68
PD-49,Mcclain LLC empower,Furniture,Bookcases,2.72,1.34
PD-50,Shah-Cruz synergize,Office Supplies,Envelopes,29.18,11.18
PD-51,Harris-Bautista scale,Technology,Accessories,24.34,11.24
PD-52,Morris Inc e-enable,Technology,Phones,24.94,6.16
PD-53,Johnson and Sons engage,Technology,Phones,20.27,10.23
PD-54,"Mcbride, Carter and Mccann deploy",Office Supplies,Fasteners,17.29,3.73
PD-55,"Frazier, Baker and Davidson unleash",Technology,Accessories,23.31,6.84
PD-56,Johnson-Johnson transform,Technology,Phones,8.43,2.87
PD-57,"Reyes, Diaz and Stein revolutionize",Office Supplies,Paper,24.4,13.95
PD-58,Randall-Miller target,Office Supplies,Art,29.97,17.92
PD-59,"Simmons, Williams and Booker visualize",Furniture,Chairs,2.38,1.11
PD-60,Bond and Sons generate,Furniture,Bookcases,21.98,5.86
PD-61,Chavez and Sons utilize,Office Supplies,Paper,21.51,7.01
PD-62,"Mills, Smith and Robinson generate",Furniture,Furnishings,19.58,4.85
PD-63,"Patterson, Henderson and Barton envisioneer",Office Supplies,Binders,9.07,2.9
PD-64,Little Ltd seize,Furniture,Chairs,4.76,2.82
PD-65,Cisneros and Sons utilize,Office Supplies,Art,10.64,2.46
PD-66,Foster-Leach strategize,Office Supplies,Fasteners,9.85,3.52
PD-67,Grant-Boyd harness,Office Supplies,Paper,16.72,4.44
PD-68,Murphy PLC leverage,Office Supplies,Paper,3.64,1.53
PD-69,Velazquez and Sons enable,Office Supplies,Art,16.81,4.43
PD-70,Spencer-Flores drive,Technology,Accessories,27.24,15.16
PD-71,Sanders-Wood mesh,Office Supplies,Storage,3.87,1.72
PD-72,Goodman LLC embrace,Technology,Accessories,12.11,6.23
PD-73,Key Ltd mesh,Furniture,Furnishings,28.23,9.15
PD-74,Collins-Morgan transition,Furniture,Chairs,23.0,11.81
PD-75,Woods PLC leverage,Furniture,Chairs,29.26,15.54
PD-76,Parker-Thomas optimize,Technology,Accessories,27.89,14.98
PD-77,Robinson-Beard embrace,Technology,Accessories,12.59,4.45
PD-78,Smith LLC enable,Furniture,Chairs,14.68,4.36
PD-79,Dixon-Graham target,Technology,Phones,22.59,9.39
PD-80,Walton-Hunt mesh,Furniture,Furnishings,19.28,7.8
PD-81,Hansen-Mcclure syndicate,Office Supplies,Fasteners,14.96,4.95
PD-82,Sanchez PLC aggregate,Furniture,Furnishings,29.52,5.93
PD-83,"Lopez, Dalton and Johnson transition",Office Supplies,Fasteners,22.76,5.83
PD-84,Gonzalez-Braun transition,Office Supplies,Storage,9.36,3.43
PD-85,Rose LLC syndicate,Technology,Accessories,11.42,6.8
PD-86,"Hoffman, Richards and Holmes orchestrate",Technology,Phones,9.96,5.78
PD-87,Young-Beck target,Technology,Accessories,3.56,0.8
PD-88,"Robinson, Chung and Adams mesh",Technology,Accessories,23.42,13.07
PD-89,Pham-Beck engage,Technology,Accessories,19.56,4.88
PD-90,"Johnson, Sullivan and Dominguez leverage",Technology,Accessories,16.98,3.8
PD-91,"Lewis, Armstrong and White disintermediate",Office Supplies,Paper,11.14,6.49
PD-92,"Holland, Hurst and Anderson empower",Furniture,Furnishings,18.89,6.73
PD-93,"Miles, Keller and Hodge iterate",Office Supplies,Paper,24.44,10.4
PD-94,Hunter-White iterate,Furniture,Furnishings,9.82,2.1
PD-95,"Dixon, Atkins and Moore grow",Technology,Phones,4.28,2.55
PD-96,Lewis-Lee streamline,Technology,Accessories,28.25,12.25
PD-97,Bowers LLC matrix,Technology,Phones,29.34,6.78
PD-98,Conley and Sons maximize,Technology,Accessories,18.19,6.92
PD-99,Hurley and Sons optimize,Technology,Phones,8.25,2.76
PD-100,Krueger PLC disintermediate,Office Supplies,Storage,12.45,6.16
PD-101,"Hooper, Maxwell and Vargas repurpose",Technology,Accessories,10.91,6.26
PD-102,"Mercado, Young and Burns incentivize",Furniture,Furnishings,30.4,9.59
PD-103,"Brooks, Allison and Campbell productize",Technology,Phones,9.69,5.11
PD-104,Woods-Gonzalez orchestrate,Furniture,Furnishings,16.01,6.1
PD-105,"Johnson, Pugh and Rasmussen harness",Office Supplies,Art,22.11,11.85
PD-106,Chavez and Sons monetize,Office Supplies,Paper,11.31,5.6
PD-107,Taylor-Hamilton maximize,Office Supplies,Fasteners,29.91,15.96
PD-108,Parks-Thompson unleash,Office Supplies,Fasteners,13.82,7.21
PD-109,"Campbell, Robles and Galvan engage",Office Supplies,Binders,11.42,3.64
PD-110,"Wright, Yates and Sullivan expedite",Technology,Phones,19.77,10.35
PD-111,Villanueva and Sons e-enable,Furniture,Chairs,27.84,7.69
PD-112,Maddox LLC benchmark,Furniture,Furnishings,14.87,8.22
PD-113,Lee-Hernandez enhance,Technology,Accessories,3.78,1.97
PD-114,Stewart-Doyle matrix,Office Supplies,Binders,26.38,8.1
PD-115,Barnes-Miller scale,Technology,Phones,28.22,9.12
PD-116,"Smith, Ruiz and White matrix",Office Supplies,Fasteners,15.05,5.51
PD-117,Chavez-Obrien exploit,Furniture,Bookcases,5.61,1.26
PD-118,"Sexton, Howard and Pope transition",Office Supplies,Fasteners,2.77,1.55
PD-119,Moreno-Ali deploy,Furniture,Bookcases,5.07,1.02
PD-120,Pace Group maximize,Office Supplies,Art,22.54,4.63
PD-121,"Moreno, Elliott and Nguyen grow",Technology,Phones,23.49,14.01
PD-122,Wyatt Inc optimize,Technology,Accessories,25.61,11.1
PD-123,"Butler, Larsen and Davis incubate",Office Supplies,Storage,10.78,5.23
PD-124,Montgomery and Sons transform,Office Supplies,Storage,26.99,7.38
PD-125,Schmidt Group synergize,Office Supplies,Fasteners,19.76,7.6
PD-126,Lee-Williams aggregate,Technology,Accessories,6.87,4.1
PD-127,Moore-Sanchez exploit,Furniture,Furnishings,3.88,1.72
PD-128,Wyatt LLC optimize,Office Supplies,Storage,14.2,5.97
PD-129,"Howard, Edwards and Swanson expedite",Office Supplies,Envelopes,22.83,10.56
PD-130,Flowers-Garcia monetize,Technology,Accessories,13.71,3.35
PD-131,"Scott, Lawrence and Morris orchestrate",Furniture,Furnishings,19.3,9.89
PD-132,"Terry, Miles and Walker transform",Technology,Phones,13.25,5.09
PD-133,Cruz-Munoz engage,Office Supplies,Envelopes,3.04,0.62
PD-134,Yates LLC facilitate,Furniture,Chairs,25.75,9.08
PD-135,"Brock, Small and Luna repurpose",Office Supplies,Binders,7.46,1.89
PD-136,Hensley-Vance target,Furniture,Bookcases,26.22,5.64
PD-137,"Reynolds, Cantu and Smith syndicate",Furniture,Furnishings,11.41,2.59
PD-138,"Green, Wallace and Sanchez innovate",Furniture,Bookcases,22.85,12.38
PD-139,Lynn Ltd leverage,Furniture,Furnishings,20.06,6.4
PD-140,"Mendez, Patel and Garcia enable",Office Supplies,Fasteners,30.33,7.58
PD-141,Owens-Bailey harness,Office Supplies,Fasteners,8.75,3.56
PD-142,Williams-Sanders deliver,Furniture,Chairs,25.63,12.25
PD-143,Baker Inc benchmark,Furniture,Furnishings,7.53,1.62
PD-144,"Wright, Merritt and Wolfe enable",Technology,Accessories,4.75,1.03
PD-145,"Moore, Bass and Davis deliver",Furniture,Furnishings,9.34,4.97
PD-146,"Smith, Duncan and Guzman generate",Furniture,Bookcases,9.55,2.51
PD-147,Cruz-Warren redefine,Office Supplies,Envelopes,16.09,6.16
PD-148,"Young, Melton and Weber revolutionize",Furniture,Bookcases,6.89,3.93
PD-149,Edwards-Pugh architect,Furniture,Chairs,27.86,11.07
PD-150,Berry-Adams whiteboard,Technology,Phones,11.03,2.84
PD-151,"Johnson, Cherry and Douglas innovate",Furniture,Bookcases,25.78,5.52
PD-152,Weaver-Elliott e-enable,Office Supplies,Binders,9.97,3.21
PD-153,Smith Ltd exploit,Furniture,Bookcases,25.43,14.02
PD-154,Lucas-Lowery engage,Furniture,Furnishings,15.43,6.29
PD-155,"Nolan, Lawson and Horton re-contextualize",Furniture,Bookcases,16.3,6.31
PD-156,"Kennedy, Davis and Skinner mesh",Office Supplies,Paper,26.52,13.63
PD-157,Thompson-Mckenzie brand,Technology,Phones,5.93,2.0
PD-158,Rangel-Phillips facilitate,Furniture,Furnishings,24.71,6.18
PD-159,Medina-Wolf repurpose,Office Supplies,Binders,26.66,10.33
PD-160,Sanchez-Miller transition,Furniture,Bookcases,20.18,11.99
PD-161,Downs Group morph,Furniture,Bookcases,14.69,6.99
PD-162,Jenkins Inc innovate,Technology,Phones,18.68,11.08
PD-163,Mullins Group strategize,Technology,Accessories,8.32,3.19
PD-164,Rose-Wiley exploit,Office Supplies,Paper,5.71,1.23
PD-165,Williams-Ross incentivize,Office Supplies,Fasteners,3.5,1.88
PD-166,May Group incentivize,Technology,Phones,7.91,3.42
PD-167,"Diaz, Pitts and Andersen disintermediate",Technology,Phones,8.67,4.26
PD-168,Molina PLC e-enable,Technology,Phones,26.34,7.58
PD-169,"Lloyd, Becker and Farmer whiteboard",Furniture,Chairs,5.86,2.26
PD-170,Chavez Inc embrace,Technology,Phones,14.68,8.15
PD-171,"Anderson, Bartlett and Wise synergize",Technology,Accessories,24.61,7.9
PD-172,"Lopez, Knight and Gonzalez mesh",Office Supplies,Binders,30.0,16.96
PD-173,"Hamilton, Castillo and Strickland utilize",Technology,Phones,5.6,2.77
PD-174,Robertson Ltd strategize,Furniture,Furnishings,18.57,10.11
PD-175,"Williams, Young and Benson seize",Furniture,Bookcases,27.73,9.68
PD-176,"Johnson, Graham and Clark architect",Office Supplies,Paper,26.47,15.7
PD-177,Harrison-Mcintyre strategize,Office Supplies,Paper,4.88,2.4
PD-178,Paul Inc transition,Technology,Accessories,17.92,7.94
PD-179,"Jimenez, Adams and Smith grow",Office Supplies,Binders,25.52,5.53
PD-180,"Ross, Clark and Mills disintermediate",Technology,Phones,6.78,2.92
PD-181,Francis-Harris utilize,Office Supplies,Fasteners,25.32,7.9
PD-182,"Scott, Rodriguez and Wells seize",Furniture,Chairs,13.57,3.07
PD-183,Bates PLC revolutionize,Technology,Phones,27.09,13.84
PD-184,Hall Inc e-enable,Technology,Accessories,13.76,3.96
PD-185,Duncan Group embrace,Office Supplies,Art,25.15,6.59
PD-186,Ryan-Carroll redefine,Technology,Accessories,15.29,5.89
PD-187,"Thompson, Thompson and Chapman revolutionize",Office Supplies,Envelopes,8.53,3.72
PD-188,Phillips-Smith deliver,Technology,Accessories,17.82,10.68
PD-189,Curtis-Miller integrate,Technology,Phones,7.56,2.17
PD-190,Avila and Sons engineer,Technology,Accessories,29.9,12.7
PD-191,Baxter-Hernandez incentivize,Technology,Accessories,28.95,13.5
PD-192,Cantu LLC revolutionize,Office Supplies,Art,7.44,1.89
PD-193,Armstrong LLC re-contextualize,Furniture,Bookcases,21.2,12.39
PD-194,Sloan-Mason evolve,Technology,Phones,30.32,17.84
PD-195,Oliver-Larson whiteboard,Technology,Phones,21.17,4.82
PD-196,Rodriguez LLC harness,Technology,Phones,20.24,6.17
PD-197,"Lewis, Morrow and Richardson facilitate",Office Supplies,Storage,16.93,9.42
PD-198,"Long, Gardner and Small implement",Furniture,Chairs,3.39,1.51
PD-199,Williams-Heath extend,Office Supplies,Binders,26.08,12.78
PD-200,"Collins, Jordan and Lester orchestrate",Technology,Accessories,22.58,10.68
PD-201,Martin Ltd monetize,Furniture,Bookcases,23.11,11.68
PD-202,Morrow-Orozco harness,Office Supplies,Art,8.88,5.31
PD-203,Werner LLC visualize,Office Supplies,Binders,25.91,11.91
PD-204,"Williams, Obrien and Carter engage",Office Supplies,Fasteners,3.29,1.06
PD-205,Carroll Ltd engage,Furniture,Furnishings,26.78,13.3
PD-206,"Goodman, Wood and Jackson aggregate",Office Supplies,Fasteners,25.71,15.23
PD-207,Henderson-Farley expedite,Furniture,Furnishings,18.91,4.78
PD-208,Davis-Reilly revolutionize,Furniture,Bookcases,15.73,3.22
PD-209,Parker-Farmer seize,Technology,Accessories,27.73,12.17
PD-210,"Williams, Morris and Madden iterate",Office Supplies,Storage,25.91,8.67
PD-211,Dalton PLC re-contextualize,Furniture,Bookcases,8.68,1.84
PD-212,Charles-Peters enhance,Technology,Accessories,20.32,10.6
PD-213,Wells-Ryan leverage,Furniture,Furnishings,22.79,12.97
PD-214,Phelps-White brand,Furniture,Furnishings,16.59,7.59
PD-215,"Pratt, Smith and Delgado transform",Technology,Phones,17.89,8.24
PD-216,Martinez-Montgomery engage,Technology,Accessories,13.43,5.78
PD-217,"Holmes, Diaz and Patterson generate",Technology,Phones,2.95,0.95
PD-218,Frederick and Sons envisioneer,Office Supplies,Envelopes,27.29,12.11
PD-219,Johnson Group generate,Furniture,Chairs,18.36,5.74
PD-220,Reynolds-Reid aggregate,Office Supplies,Envelopes,23.57,8.76
PD-221,Burns Group e-enable,Office Supplies,Storage,29.53,7.6
PD-222,Wright-Cox matrix,Office Supplies,Binders,2.98,1.39
PD-223,Sosa-Edwards benchmark,Office Supplies,Fasteners,14.72,8.69
PD-224,Hudson LLC implement,Furniture,Chairs,28.39,6.48
PD-225,Simon Group synthesize,Technology,Accessories,19.57,6.84
PD-226,Lopez-Owens synthesize,Furniture,Chairs,24.67,14.09
PD-227,Noble and Sons productize,Office Supplies,Paper,23.06,10.47
PD-228,"Russell, Mejia and Schneider target",Office Supplies,Storage,26.8,11.51
PD-229,Todd-Rojas extend,Technology,Accessories,21.15,7.54
PD-230,Strickland Ltd cultivate,Office Supplies,Paper,7.96,3.84
PD-231,Cox-Morales unleash,Furniture,Chairs,7.57,1.54
PD-232,"Molina, Frank and Price morph",Technology,Accessories,15.66,5.13
PD-233,"Carrillo, Monroe and Anderson mesh",Technology,Phones,16.02,8.44
PD-234,Chen-Lee envisioneer,Technology,Accessories,6.77,3.1
PD-235,Ruiz and Sons optimize,Office Supplies,Art,19.05,11.38
PD-236,"Powell, Carter and Huber reinvent",Technology,Phones,12.36,4.04
PD-237,"Wood, Thompson and Black expedite",Technology,Phones,13.28,7.73
PD-238,"Rogers, Schultz and King streamline",Furniture,Furnishings,14.14,5.56
PD-239,Scott-Dawson streamline,Technology,Accessories,12.01,4.73
PD-240,Lara PLC unleash,Office Supplies,Art,10.38,5.37
PD-241,"Patton, Neal and Roberts repurpose",Technology,Phones,4.96,1.64
PD-242,"Peters, Dennis and Smith facilitate",Technology,Accessories,4.38,2.35
PD-243,Jacobs LLC matrix,Technology,Phones,5.09,2.3
PD-244,"Byrd, Myers and Espinoza empower",Furniture,Furnishings,9.34,4.96
PD-245,"Collins, Peterson and Thomas facilitate",Technology,Accessories,22.28,12.64
PD-246,Diaz and Sons architect,Office Supplies,Storage,2.93,1.03
PD-247,Conner-Roman cultivate,Furniture,Chairs,22.16,6.66
PD-248,Hartman-Collier expedite,Technology,Phones,29.14,12.25
PD-249,Rodriguez Inc generate,Office Supplies,Binders,2.26,0.78
PD-250,Wood PLC aggregate,Technology,Accessories,22.01,6.54
PD-251,Obrien-Mcintyre expedite,Technology,Accessories,15.61,5.92
PD-252,Jordan Group deliver,Office Supplies,Binders,7.15,2.95
PD-253,"Hampton, Long and Harrington seize",Furniture,Bookcases,28.75,9.64
PD-254,Vega-Sweeney architect,Technology,Accessories,15.88,5.76
PD-255,"Rodriguez, Huang and Riley disintermediate",Office Supplies,Paper,26.06,13.48
PD-256,"Patel, Evans and Wagner innovate",Office Supplies,Envelopes,28.04,9.53
PD-257,Clark PLC disintermediate,Furniture,Furnishings,28.51,15.23
PD-258,Romero-Lopez facilitate,Technology,Accessories,13.91,7.27
PD-259,"Smith, Phillips and Harris scale",Office Supplies,Fasteners,19.73,10.01
PD-260,Rodriguez Inc aggregate,Furniture,Furnishings,18.02,8.83
PD-261,Nguyen-Wallace synergize,Technology,Phones,15.44,4.43
PD-262,"Harrison, Fowler and Dickson utilize",Technology,Phones,28.58,12.72
PD-263,"Spencer, Humphrey and Williamson scale",Furniture,Chairs,28.59,6.61
PD-264,Clark-Nguyen re-contextualize,Furniture,Furnishings,17.12,5.15
PD-265,Martin and Sons monetize,Technology,Accessories,3.82,1.29
PD-266,Durham-Anderson empower,Office Supplies,Storage,28.73,6.89
PD-267,Larson-Morton engineer,Office Supplies,Storage,14.72,8.04
PD-268,Tran-Hodge disintermediate,Technology,Accessories,11.07,5.01
PD-269,Lucero and Sons generate,Furniture,Chairs,20.48,9.85
PD-270,"Clements, Copeland and Wiley repurpose",Furniture,Furnishings,11.1,3.86
PD-271,"Swanson, Preston and Ramos reinvent",Technology,Accessories,10.55,6.24
PD-272,"Suarez, Wood and Campbell matrix",Furniture,Chairs,27.31,7.48
PD-273,Davis-Martin grow,Furniture,Furnishings,29.73,14.63
PD-274,Murphy PLC brand,Office Supplies,Art,20.24,5.31
PD-275,Reed-Wise empower,Technology,Phones,26.14,7.85
PD-276,"Jones, Nicholson and Brown enhance",Furniture,Bookcases,29.16,14.87
PD-277,"Wells, Atkinson and Wyatt matrix",Furniture,Furnishings,16.96,7.98
PD-278,Hughes PLC brand,Furniture,Chairs,23.41,7.67
PD-279,Walker Group synergize,Furniture,Bookcases,16.18,6.03
PD-280,Hernandez Group scale,Technology,Accessories,22.02,6.96
PD-281,"Moran, Price and Flowers re-intermediate",Furniture,Chairs,20.82,4.74
PD-282,"Johnson, Snow and Burke transition",Furniture,Furnishings,20.55,11.15
PD-283,"Gonzalez, Watson and Henry disintermediate",Office Supplies,Paper,15.73,5.83
PD-284,Weaver Inc re-contextualize,Furniture,Chairs,11.3,5.32
PD-285,Bates-Steele architect,Technology,Phones,21.45,12.59
PD-286,Mathis-Johnson leverage,Technology,Phones,10.33,4.06
PD-287,Dunn LLC syndicate,Office Supplies,Fasteners,3.71,1.14
PD-288,"Lewis, Glenn and Madden target",Office Supplies,Fasteners,27.08,11.33
PD-289,Brown Ltd cultivate,Office Supplies,Binders,19.38,9.86
PD-290,Obrien and Sons incubate,Office Supplies,Storage,19.84,9.3
PD-291,Lane-Patterson synergize,Furniture,Chairs,11.31,3.5
PD-292,Cooper-Moore optimize,Office Supplies,Envelopes,4.17,1.72
PD-293,"Strong, Clark and Stone generate",Office Supplies,Binders,23.46,4.7
PD-294,"Mitchell, Frederick and Jensen visualize",Technology,Accessories,21.53,8.49
PD-295,"Taylor, Barnes and Curtis architect",Office Supplies,Fasteners,19.02,11.25
PD-296,Oneill Inc incentivize,Furniture,Bookcases,25.79,13.51
PD-297,Huynh-Hall innovate,Office Supplies,Paper,16.24,3.37
PD-298,Jones-Krueger whiteboard,Office Supplies,Fasteners,25.38,9.09
PD-299,Burns Group target,Office Supplies,Paper,16.27,9.48
PD-300,Hall-Ritter implement,Technology,Phones,20.92,10.82
PD-301,Baker-Williams iterate,Technology,Accessories,19.85,5.44
PD-302,"Bruce, Woods and Johnson enable",Technology,Accessories,19.39,5.99
PD-303,Ruiz and Sons evolve,Furniture,Bookcases,26.68,11.96
PD-304,Burton-Price innovate,Office Supplies,Fasteners,12.2,4.31
PD-305,"Osborne, Collins and Joseph productize",Technology,Accessories,17.0,9.07
PD-306,Chandler-Schneider deploy,Furniture,Furnishings,26.89,7.13
PD-307,"Blankenship, Robinson and Mendoza leverage",Furniture,Bookcases,22.2,12.38
PD-308,"Taylor, Lucero and Lewis innovate",Office Supplies,Storage,16.05,8.47
PD-309,Sullivan Ltd revolutionize,Office Supplies,Fasteners,10.54,3.35
PD-310,Nelson Ltd synergize,Office Supplies,Paper,15.61,3.66
PD-311,Snyder Inc iterate,Furniture,Bookcases,14.95,8.04
PD-312,Hughes PLC reinvent,Technology,Accessories,10.38,3.53
PD-313,Oliver Group transition,Technology,Phones,12.86,4.55
PD-314,"Berger, Hayes and Williams brand",Furniture,Furnishings,7.22,4.12
PD-315,"Martinez, Kaufman and Anderson streamline",Technology,Accessories,25.02,7.28
PD-316,Oliver Inc incubate,Technology,Accessories,29.25,6.46
PD-317,Erickson-Waller orchestrate,Office Supplies,Binders,17.24,5.44
PD-318,Allen Ltd strategize,Technology,Accessories,18.23,4.43
PD-319,Mccarthy-Downs architect,Technology,Accessories,17.27,4.5
PD-320,"Young, Moore and Coleman incubate",Office Supplies,Art,21.19,11.6
PD-321,Bush-Ford enhance,Furniture,Bookcases,7.84,3.24
PD-322,Escobar-Evans visualize,Office Supplies,Envelopes,24.97,12.76
PD-323,Chambers Group evolve,Office Supplies,Art,6.98,3.05
PD-324,"Cisneros, Ortega and Montgomery iterate",Furniture,Furnishings,21.22,4.75
PD-325,Tucker and Sons brand,Technology,Accessories,5.85,2.71
PD-326,Munoz-Stewart repurpose,Technology,Accessories,10.14,3.79
PD-327,Lopez-Lewis target,Furniture,Bookcases,13.2,5.52
PD-328,"Robinson, Brown and Cherry innovate",Technology,Phones,18.65,5.6
PD-329,Price LLC visualize,Furniture,Chairs,2.43,0.93
PD-330,Simpson-Cross transition,Furniture,Furnishings,16.5,4.21
PD-331,Stone-Jones e-enable,Office Supplies,Envelopes,5.62,3.27
PD-332,Wright Group syndicate,Technology,Phones,19.04,10.23
PD-333,Reed-Garcia whiteboard,Furniture,Chairs,24.1,12.65
PD-334,Espinoza and Sons enhance,Office Supplies,Art,29.66,12.73
PD-335,Murray and Sons synergize,Office Supplies,Fasteners,29.43,12.81
PD-336,"Miller, Cabrera and Harrell implement",Technology,Phones,2.28,1.32
PD-337,"Kirk, Hansen and Williams streamline",Office Supplies,Binders,7.84,2.8
PD-338,Cline-Williamson extend,Office Supplies,Storage,28.59,16.52
PD-339,"Bennett, Krause and Torres benchmark",Technology,Phones,28.06,13.53
PD-340,"Kelley, Butler and Rodgers incentivize",Furniture,Furnishings,4.35,1.35
PD-341,Sims LLC deploy,Furniture,Bookcases,3.3,0.91
PD-342,Harris-Myers utilize,Office Supplies,Paper,8.81,4.41
PD-343,Hickman-Jordan harness,Technology,Phones,26.14,10.07
PD-344,"Hall, Moore and Wall streamline",Office Supplies,Art,27.7,15.02
PD-345,"Miller, Bowman and Stewart leverage",Office Supplies,Envelopes,20.63,5.54
PD-346,Li-Chambers scale,Technology,Phones,9.89,5.72
PD-347,Downs PLC drive,Technology,Accessories,7.18,2.03
PD-348,Malone-Brooks repurpose,Technology,Phones,10.69,6.32
PD-349,Sanders and Sons exploit,Furniture,Furnishings,7.63,1.83
PD-350,Rios Group disintermediate,Technology,Phones,26.07,11.17
PD-351,Ramirez-Bowman matrix,Technology,Accessories,9.25,4.56
PD-352,"Peters, Walter and Doyle integrate",Furniture,Furnishings,22.44,7.78
PD-353,"Cline, Cabrera and Moore benchmark",Technology,Phones,17.8,4.5
PD-354,Richardson Inc unleash,Technology,Phones,28.27,13.26
PD-355,"Hunt, Gordon and Jones revolutionize",Technology,Phones,21.04,6.58
PD-356,"Cole, Walls and White benchmark",Furniture,Chairs,7.78,2.62
PD-357,Blanchard Group benchmark,Office Supplies,Fasteners,28.83,8.36
PD-358,Moore Ltd embrace,Technology,Accessories,3.94,1.96
PD-359,Elliott-Gibbs matrix,Office Supplies,Storage,12.25,6.58
PD-360,"Mitchell, Gonzalez and White utilize",Office Supplies,Binders,3.24,0.88
PD-361,Wong Ltd visualize,Office Supplies,Art,11.2,4.98
PD-362,Bell-Kane re-contextualize,Office Supplies,Envelopes,19.52,5.02
PD-363,Roberts LLC engage,Technology,Accessories,25.69,11.98
PD-364,Holmes Inc monetize,Technology,Phones,21.92,9.57
PD-365,Harmon-Brown optimize,Technology,Accessories,9.18,4.99
PD-366,"Kidd, Brown and Stewart cultivate",Furniture,Furnishings,14.51,4.76
PD-367,Phillips LLC utilize,Technology,Phones,17.78,4.84
PD-368,Tran Ltd visualize,Office Supplies,Envelopes,12.07,4.45
PD-369,"Mendoza, Bell and Mcclure enable",Technology,Phones,16.4,5.18
PD-370,"Holloway, Armstrong and Collins architect",Furniture,Bookcases,10.48,4.25
PD-371,Lewis-Stanley unleash,Office Supplies,Binders,19.42,4.72
PD-372,Gutierrez Ltd architect,Furniture,Bookcases,20.15,8.61
PD-373,"Travis, Ward and Yates integrate",Technology,Accessories,23.73,12.86
PD-374,Gibson-Henry leverage,Office Supplies,Art,8.81,2.08
PD-375,Pope Ltd exploit,Technology,Accessories,16.1,7.15
